park_name,address,complex_id
Central C.C / Freighthouse Spray Pad,200 Isabel St,163
Machray Park Spray Pad,475 Anderson Ave,83
Vimy Ridge Memorial Park Spray Pad,821 Preston Ave,49
Jill Officer Park Spray Pad,1400 Rothesay St,102
Valley Gardens CC Spray Pad,218 Antrim Rd,98
Central Park Spray Pad,400 Cumberland Ave,27
Lindenwoods Spray Pad,414 Lindenwood Dr W,190
Westdale Spray Pad,550 Dale Blvd,148
River Heights Spray Pad,1370 Grosvenor Ave,31
Gateway Spray Pad,1717 Gateway Rd,104
West Kildonan Spray Pad,346 Perth Ave,158
St. Norbert Community Centre Spray Pad,3450 Pembina Hwy,155
Provencher Park Spray Pad,620 Langevin St,36
Fort Rouge Spray Pad,295 River Ave,48
Sturgeon Heights Spray Pad,210 Rita St,54
St. James Assiniboia Centennial Pool Spray Pad,644 Parkdale St,169
Park City West Spray Pad,115 Sanford Fleming Rd,114
Lindsey Wilson Park Spray Pad,379 Island Shore Blvd,192
Waverley Heights Spray Pad,1885 Chancellor Dr,158
Shaughnessy Spray Pad,74 Tyndall Ave,107
Old Exhibition Athletic Grounds Spray Pad,96 Sinclair St,72
